:START_ID,:END_ID,:TYPE
reference_crypt_Pedersen05a,Torben P. Pedersen,WRITES
reference_crypt_Naccache11b,David Naccache,WRITES
reference_crypt_Kaliski11z,Burt Kaliski,WRITES
reference_crypt_Adams05d,Carlisle Adams,WRITES
reference_crypt_ParkB11,"Jung-Min \"Jerry\" Park",WRITES
reference_crypt_ParkB11,Kaigui Bian,WRITES
reference_crypt_Kaliski05k,Burton S. Kaliski Jr.,WRITES
reference_crypt_Biryukov11z,Alex Biryukov,WRITES
reference_crypt_Bleumer11ac,Gerrit Bleumer,WRITES
reference_crypt_CallasNO11,Jon Callas,WRITES
reference_crypt_CallasNO11,Daniel Nagy,WRITES
